"","sa1_code_2016","LRT","subway","rail","bus","ferry","cable_tram","aerial_lift","funicular","trolleybus","monorail"
"181","20101100603",0,0,0,109.464062581871,0,0,0,0,0,0
"182","20101100604",0,0,0,53.8650727094155,0,0,0,0,0,0
"183","20101100605",0,0,0,6.0014213278061,0,0,0,0,0,0
"184","20101100606",0,0,0,0.248471956032282,0,0,0,0,0,0
"185","20101100607",0,0,0,0,0,0,0,0,0,0
"186","20101100608",0,0,0,3.43415094005623e-05,0,0,0,0,0,0
"187","20101100610",0,0,0,93.482048996433,0,0,0,0,0,0
"188","20101100611",0,0,0,120.025331715674,0,0,0,0,0,0
"189","20101100612",0,0,0,104.066698494066,0,0,0,0,0,0
"190","20101100613",0,0,0,110.731283132969,0,0,0,0,0,0
"191","20101100614",0,0,0,22.8076066090645,0,0,0,0,0,0
"192","20101100615",0,0,0,30.9360450584521,0,0,0,0,0,0
"193","20101100616",0,0,0,5.20780193844343,0,0,0,0,0,0
"194","20101100617",0,0,0,18.4126628817742,0,0,0,0,0,0
"195","20101100701",0,0,0,0.0452247830493058,0,0,0,0,0,0
"196","20101100702",0,0,0,0,0,0,0,0,0,0
"197","20101100703",0,0,0,0.0944083613925852,0,0,0,0,0,0
"198","20101100704",0,0,0,0,0,0,0,0,0,0
"199","20101100705",0,0,0,0.0142252148225108,0,0,0,0,0,0
"200","20101100706",0,0,0,0.222507005433172,0,0,0,0,0,0
"201","20101100707",0,0,0,0.0123793065877473,0,0,0,0,0,0
"202","20101100708",0,0,0,0,0,0,0,0,0,0
"203","20101100709",0,0,0,0,0,0,0,0,0,0
"204","20101100801",0,0,0,59.1842872545096,0,0,0,0,0,0
"205","20101100804",0,0,0,62.6642614819982,0,0,0,0,0,0
"206","20101100805",0,0,0,195.73645617708,0,0,0,0,0,0
"207","20101100806",0,0,0,48.6315871939996,0,0,0,0,0,0
"208","20101100807",0,0,0,148.707393477595,0,0,0,0,0,0
"209","20101100808",0,0,0,93.1689288360263,0,0,0,0,0,0
"210","20101100809",0,0,0,169.164529230862,0,0,0,0,0,0
"211","20101100810",0,0,0,48.934723094427,0,0,0,0,0,0
"212","20101100811",0,0,0,84.7130681629475,0,0,0,0,0,0
"213","20101100812",0,0,0,113.421412658481,0,0,0,0,0,0
"214","20101100813",0,0,0,100.130474844043,0,0,0,0,0,0
"215","20101100814",0,0,5.25576031330239,47.5843634175331,0,0,0,0,0,0
"216","20101100815",0,0,4.47418409307096,215.567332849237,0,0,0,0,0,0
"217","20101100816",0,0,0,14.6778708451736,0,0,0,0,0,0
"218","20101100818",0,0,0,35.4679618839332,0,0,0,0,0,0
"219","20101100820",0,0,0,42.8713318966184,0,0,0,0,0,0
"220","20101100821",0,0,0,100.322307855373,0,0,0,0,0,0
"221","20101100822",0,0,0,196.131081133327,0,0,0,0,0,0
"222","20101100823",0,0,0,90.6225161698532,0,0,0,0,0,0
"223","20101100824",0,0,18.1637891153026,223.340794512741,0,0,0,0,0,0
"224","20101100825",0,0,11.0487472333049,92.9780808573205,0,0,0,0,0,0
"225","20101100826",0,0,0,227.116057423203,0,0,0,0,0,0
"226","20101100827",0,0,0,152.185303380522,0,0,0,0,0,0
"227","20101100828",0,0,0,188.075529861335,0,0,0,0,0,0
"228","20101100829",0,0,0,124.690917081505,0,0,0,0,0,0
"229","20101100830",0,0,0,108.692027621118,0,0,0,0,0,0
"230","20101100831",0,0,0,135.021091549526,0,0,0,0,0,0
"231","20101100832",0,0,0,123.091636980872,0,0,0,0,0,0
"232","20101100833",0,0,0,105.529119832393,0,0,0,0,0,0
"233","20101100834",0,0,0,140.500762993015,0,0,0,0,0,0
"234","20101100835",0,0,0,40.2956741088417,0,0,0,0,0,0
"235","20101100836",0,0,0,21.6282976588477,0,0,0,0,0,0
"236","20101100837",0,0,0,4.85300941620043,0,0,0,0,0,0
"237","20101100838",0,0,0,0.842763007186987,0,0,0,0,0,0
"238","20101100839",0,0,0,0,0,0,0,0,0,0
"239","20101100840",0,0,0,5.37836876137416,0,0,0,0,0,0
"240","20101100841",0,0,0,11.1893247435593,0,0,0,0,0,0
"241","20101100842",0,0,0,0.0345979435443728,0,0,0,0,0,0
"242","20101100843",0,0,0,10.5867203095291,0,0,0,0,0,0
"243","20101100844",0,0,0,19.727906419621,0,0,0,0,0,0
"244","20101100845",0,0,0,1.62721429608837,0,0,0,0,0,0
"245","20102100901",0,0,2.41831868261663,0,0,0,0,0,0,0
"246","20102100902",0,0,0,0,0,0,0,0,0,0
"247","20102100903",0,0,0,0,0,0,0,0,0,0
