"","sa1_code_2016","LRT","subway","rail","bus","ferry","cable_tram","aerial_lift","funicular","trolleybus","monorail","Total"
"5667","20901119713",0,0,10.327431357181,99.5049019415115,0,0,0,0,0,0,109.832333298693
"5668","20901119714",0,0,0,157.331205081208,0,0,0,0,0,0,157.331205081208
"5669","20901119715",0,0,59.9781633302618,1019.05662946549,0,0,0,0,0,0,1079.03479279575
"5670","20901119716",0,0,0,563.175401539556,0,0,0,0,0,0,563.175401539556
"5671","20901119717",0,0,0,334.319484411672,0,0,0,0,0,0,334.319484411672
"5672","20901119718",0,0,0,493.243029843084,0,0,0,0,0,0,493.243029843084
"5673","20901119719",0,0,0,267.53550140834,0,0,0,0,0,0,267.53550140834
"5674","20901119720",0,0,0,71.2118566450088,0,0,0,0,0,0,71.2118566450088
"5675","20901119721",0,0,0,247.088176956419,0,0,0,0,0,0,247.088176956419
"5676","20901119722",0,0,0,205.505890405778,0,0,0,0,0,0,205.505890405778
"5677","20901119723",0,0,0,128.844548995937,0,0,0,0,0,0,128.844548995937
"5678","20901119724",0,0,0,87.3193741667423,0,0,0,0,0,0,87.3193741667423
"5679","20901119725",0,0,0,130.977983625086,0,0,0,0,0,0,130.977983625086
"5680","20901119726",0,0,0,150.857153563118,0,0,0,0,0,0,150.857153563118
"5681","20901119727",0,0,0,118.190490412077,0,0,0,0,0,0,118.190490412077
"5682","20901119728",0,0,0,411.22601163769,0,0,0,0,0,0,411.22601163769
"5683","20901119729",0,0,0,359.149268018374,0,0,0,0,0,0,359.149268018374
"5684","20901119730",0,0,0,495.556297036166,0,0,0,0,0,0,495.556297036166
"5685","20901119731",0,0,0,667.494614183536,0,0,0,0,0,0,667.494614183536
"5686","20901119732",0,0,0,172.307605448413,0,0,0,0,0,0,172.307605448413
"5687","20901119733",0,0,0,144.582466856654,0,0,0,0,0,0,144.582466856654
"5688","20901119734",0,0,0,130.652527289775,0,0,0,0,0,0,130.652527289775
"5689","20901119735",0,0,0,206.866479942926,0,0,0,0,0,0,206.866479942926
"5690","20901119736",0,0,0,366.568917712919,0,0,0,0,0,0,366.568917712919
"5691","20901119737",0,0,0,119.830743449918,0,0,0,0,0,0,119.830743449918
"5692","20901119738",0,0,132.000000000014,310.501432887436,0,0,0,0,0,0,442.50143288745
"5693","20901119739",0,0,18.6640785594817,952.234572668698,0,0,0,0,0,0,970.89865122818
"5694","20901119740",0,0,116.1435144995,1136.3054385572,0,0,0,0,0,0,1252.4489530567
"5695","20901119741",0,0,131.999999999995,1992.30627412749,0,0,0,0,0,0,2124.30627412748
"5696","20901119742",0,0,95.4830866217659,880.89765425116,0,0,0,0,0,0,976.380740872926
"5697","20901119743",0,0,0,521.183474458104,0,0,0,0,0,0,521.183474458104
"5698","20901119744",0,0,43.7697882020811,202.911455466945,0,0,0,0,0,0,246.681243669026
"5699","20901119745",0,0,0,448.856063038936,0,0,0,0,0,0,448.856063038936
"5700","20901119746",0,0,0,146.67094477439,0,0,0,0,0,0,146.67094477439
"5701","20901119747",0,0,0,178.059655202965,0,0,0,0,0,0,178.059655202965
"5702","20901119748",0,0,0,263.488687236245,0,0,0,0,0,0,263.488687236245
"5703","20901119749",0,0,0,763.592965605621,0,0,0,0,0,0,763.592965605621
"5704","20901119750",0,0,88.774229339144,1331.6717317231,0,0,0,0,0,0,1420.44596106224
"5705","20901119751",0,0,0,138.263893737689,0,0,0,0,0,0,138.263893737689
"5706","20901119752",0,0,0,106.074511544258,0,0,0,0,0,0,106.074511544258
"5707","20901119753",0,0,0,198.468324425577,0,0,0,0,0,0,198.468324425577
