lga_code_2021,lga_name_2021,greater_melbourne
45400,Orroroo Carrieton,FALSE
45540,Peterborough,FALSE
45680,Playford,FALSE
45890,Port Adelaide Enfield,FALSE
46090,Port Augusta,FALSE
46300,Port Lincoln,FALSE
46450,Port Pirie,FALSE
46510,Prospect,FALSE
46670,Renmark Paringa,FALSE
46860,Robe,FALSE
46970,Roxby Downs,FALSE
47140,Salisbury,FALSE
47290,Southern Mallee,FALSE
47490,Streaky Bay,FALSE
47630,Tatiara,FALSE
47700,Tea Tree Gully,FALSE
47800,Coorong,FALSE
47910,Tumby Bay,FALSE
47980,Unley,FALSE
48050,Victor Harbor,FALSE
48130,Wakefield,FALSE
48260,Walkerville,FALSE
48340,Wattle Range,FALSE
48410,West Torrens,FALSE
48540,Whyalla,FALSE
48640,Wudinna,FALSE
48750,Yankalilla,FALSE
48830,Yorke Peninsula,FALSE
49399,Unincorporated SA,FALSE
49499,No usual address (SA),FALSE
49799,Migratory - Offshore - Shipping (SA),FALSE
50080,Albany,FALSE
50210,Armadale,FALSE
50250,Ashburton,FALSE
50280,Augusta Margaret River,FALSE
50350,Bassendean,FALSE
50420,Bayswater,FALSE
50490,Belmont,FALSE
50560,Beverley,FALSE
50630,Boddington,FALSE
50770,Boyup Brook,FALSE
50840,Bridgetown-Greenbushes,FALSE
50910,Brookton,FALSE
50980,Broome,FALSE
51080,Broomehill-Tambellup,FALSE
51120,Bruce Rock,FALSE
51190,Bunbury,FALSE
51260,Busselton,FALSE
51310,Cambridge,FALSE
51330,Canning,FALSE
51400,Capel,FALSE
51470,Carnamah,FALSE
51540,Carnarvon,FALSE
51610,Chapman Valley,FALSE
51680,Chittering,FALSE
51710,Christmas Island,FALSE
51750,Claremont,FALSE
51820,Cockburn,FALSE
51860,Cocos Islands,FALSE
51890,Collie,FALSE
51960,Coolgardie,FALSE
52030,Coorow,FALSE
52100,Corrigin,FALSE
52170,Cottesloe,FALSE
52240,Cranbrook,FALSE
52310,Cuballing,FALSE
52380,Cue,FALSE
52450,Cunderdin,FALSE
52520,Dalwallinu,FALSE
52590,Dandaragan,FALSE
52660,Dardanup,FALSE
52730,Denmark,FALSE
52800,Derby-West Kimberley,FALSE
52870,Donnybrook-Balingup,FALSE
52940,Dowerin,FALSE
53010,Dumbleyung,FALSE
53080,Dundas,FALSE
53150,East Fremantle,FALSE
53220,East Pilbara,FALSE
53290,Esperance,FALSE
53360,Exmouth,FALSE
53430,Fremantle,FALSE
53570,Gingin,FALSE
53640,Gnowangerup,FALSE
53710,Goomalling,FALSE
53780,Gosnells,FALSE
53800,Greater Geraldton,FALSE
53920,Halls Creek,FALSE
53990,Harvey,FALSE
54060,Irwin,FALSE
54130,Jerramungup,FALSE
54170,Joondalup,FALSE
54200,Kalamunda,FALSE
54280,Kalgoorlie-Boulder,FALSE
54310,Karratha,FALSE
54340,Katanning,FALSE
54410,Kellerberrin,FALSE
54480,Kent,FALSE
54550,Kojonup,FALSE
54620,Kondinin,FALSE
54690,Koorda,FALSE
54760,Kulin,FALSE
54830,Kwinana,FALSE
54900,Lake Grace,FALSE
54970,Laverton,FALSE
55040,Leonora,FALSE
55110,Mandurah,FALSE
55180,Manjimup,FALSE
55250,Meekatharra,FALSE
55320,Melville,FALSE
55390,Menzies,FALSE
55460,Merredin,FALSE
55530,Mingenew,FALSE
55600,Moora,FALSE
55670,Morawa,FALSE
55740,Mosman Park,FALSE
55810,Mount Magnet,FALSE
55880,Mount Marshall,FALSE
55950,Mukinbudin,FALSE
56090,Mundaring,FALSE
56160,Murchison,FALSE
56230,Murray,FALSE
56300,Nannup,FALSE
56370,Narembeen,FALSE
56460,Narrogin,FALSE
56580,Nedlands,FALSE
56620,Ngaanyatjarraku,FALSE
56730,Northam,FALSE
56790,Northampton,FALSE
56860,Nungarin,FALSE
56930,Peppermint Grove,FALSE
57000,Perenjori,FALSE
57080,Perth,FALSE
57140,Pingelly,FALSE
57210,Plantagenet,FALSE
57280,Port Hedland,FALSE
57350,Quairading,FALSE
