sa1_code_2021,sa2_name_2021,SI_CCD
20101148216,Ballarat North - Invermay,1020.1231229849624
20101148217,Ballarat North - Invermay,4.360509723678722
20101148218,Ballarat North - Invermay,104.62831395193226
20101148219,Ballarat North - Invermay,252.99375627901665
20101148220,Ballarat North - Invermay,258.7658670924784
20101148221,Ballarat North - Invermay,3.0503389119586997
20101148222,Ballarat North - Invermay,2084.0561223821023
20101148223,Ballarat North - Invermay,280.8823374867454
20101148224,Ballarat North - Invermay,2350.0570944392375
20101148225,Ballarat North - Invermay,275.874046270679
20101148226,Ballarat North - Invermay,750.2957921495337
20101148227,Ballarat North - Invermay,644.412196037523
20101148228,Ballarat North - Invermay,1352.224830212269
20101148229,Ballarat North - Invermay,259.32306684341063
20101148230,Ballarat North - Invermay,557.9139885598082
20101148301,Canadian - Mount Clear,39.189815985851254
20101148302,Canadian - Mount Clear,1140.4516767815585
20101148303,Canadian - Mount Clear,45.17922836135962
20101148304,Canadian - Mount Clear,176.71083252817158
20101148305,Canadian - Mount Clear,577.3311158778613
20101148306,Canadian - Mount Clear,300.4135031674799
20101148307,Canadian - Mount Clear,1715.2957264310494
20101148308,Canadian - Mount Clear,203.5428477238378
20101148309,Canadian - Mount Clear,1580.6335788832748
20101148310,Canadian - Mount Clear,2570.3712706159527
20101148311,Canadian - Mount Clear,26.9064014058374
20101148312,Canadian - Mount Clear,494.6620452455601
20101148313,Canadian - Mount Clear,367.4740869231141
20101148314,Canadian - Mount Clear,1135.8140062467694
20101148315,Canadian - Mount Clear,340.6664481108811
20101148316,Canadian - Mount Clear,471.7155075134118
20101148317,Canadian - Mount Clear,650.416397916151
20101148318,Canadian - Mount Clear,1736.8507198698392
20101148319,Canadian - Mount Clear,0
20101148320,Canadian - Mount Clear,12.592333071619596
20101148321,Canadian - Mount Clear,1340.728510998193
20101148322,Canadian - Mount Clear,557.8087618204598
20101148323,Canadian - Mount Clear,2379.523632956843
20101148324,Canadian - Mount Clear,1884.9015698104959
20101148325,Canadian - Mount Clear,990.7466899262812
20101148326,Canadian - Mount Clear,536.1604118288282
20101148401,Sebastopol - Redan,1607.8308337559952
20101148402,Sebastopol - Redan,1059.7386635965206
20101148403,Sebastopol - Redan,873.1788541184775
20101148404,Sebastopol - Redan,1373.329008558464
20101148405,Sebastopol - Redan,1477.4341393370028
20101148406,Sebastopol - Redan,71.34054543032042
20101148407,Sebastopol - Redan,92.55629741020432
20101148408,Sebastopol - Redan,1407.6481242061775
20101148409,Sebastopol - Redan,624.6847504211702
20101148410,Sebastopol - Redan,193.8429661674504
20101148411,Sebastopol - Redan,711.1757016909766
20101148412,Sebastopol - Redan,0
20101148413,Sebastopol - Redan,776.9362057772352
20101148414,Sebastopol - Redan,722.470800868854
20101148415,Sebastopol - Redan,431.5145483565272
20101148416,Sebastopol - Redan,319.494221928287
20101148417,Sebastopol - Redan,525.0687599929353
20101148418,Sebastopol - Redan,349.8397633491755
20101148419,Sebastopol - Redan,617.509191678431
