sa1_code_2016;Total
20103101707;2,88337576045278e-02
20103101708;4,38660724705202e+00
20103101709;4,08981520591507e-02
20103101710;0,00000000000000e+00
20103101711;4,13423025653584e-02
20103101712;0,00000000000000e+00
20103101713;0,00000000000000e+00
20103101714;0,00000000000000e+00
20103101715;0,00000000000000e+00
20201101801;9,37300879343780e+01
20201101802;3,68797565091017e+02
20201101803;2,36701356763425e+02
20201101804;1,04033300451760e+02
20201101805;5,31768026988880e+01
20201101806;4,58475853907493e+01
20201101807;6,07202972385248e+01
20201101808;0,00000000000000e+00
20201101809;9,54614586988096e+02
20201101810;1,30980685604588e+03
20201101811;1,44131654412567e+02
20201101812;1,15906692367660e+02
20201101813;8,47855661324831e+01
20201101814;1,31923581258322e+02
20201101815;1,25822622380358e+02
20201101816;7,72981292440679e+02
20201101817;1,21024343592293e+02
20201101818;1,87238395116446e+02
20201101819;9,71898690924723e+01
20201101820;4,60337738727209e+02
20201101821;7,33532009549260e+02
20201101822;6,50370123373248e+02
20201101823;1,38983094696296e+01
20201101824;2,14466533244881e+02
20201101825;2,87636421668117e+02
20201101826;2,79930853907990e+02
20201101827;1,74958364495045e+02
20201101828;1,17638668785783e+02
20201101829;1,69502861419416e+02
20201101830;1,05916912267230e+02
20201101831;2,80428731640761e+02
20201101832;8,23745152134768e+01
20201101833;1,75695981684748e+02
20201101834;1,63014024115806e+03
20201101835;6,49752391169286e+02
20201101836;4,27548324788873e+01
20201101837;1,25600771561399e+02
20201101838;9,19011802919477e+01
20201101901;2,99785270832104e+02
20201101902;1,64541075384743e+02
20201101903;4,89870623963099e+02
20201101904;3,32901229309375e+02
20201101905;3,00542384072825e+02
20201101906;1,92258798972736e-01
20201101907;9,09645105661337e+01
20201101908;3,21673086070914e+02
20201101909;2,33248656814853e+02
20201101910;6,79007990728533e+01
20201101911;6,41071862916152e+01
20201101912;2,44121410777121e+01
20201101913;9,86943257593796e+00
20201101914;1,21789127639424e+02
20201101915;5,94462191423564e-01
20201101916;1,57877451043058e+02
20201101917;2,72754337527211e+02
20201101918;5,16089126872828e+00
20201101919;0,00000000000000e+00
20201101920;3,67175148216825e+01
20201101921;6,70350188618613e+01
20201101922;6,73288519212191e+01
20201101923;7,37847408332053e+01
20201101924;3,19833891623273e+02
20201102001;1,11775503473382e+02
20201102002;1,82565498652191e+02
20201102003;1,10610772027003e+02
20201102004;1,31011375095926e+02
20201102005;1,90412560931839e+02
20201102006;7,04287113506097e+01
20201102007;1,38815377579705e+02
20201102008;3,89445304977827e+01
20201102009;5,92852632695943e+00
20201102010;8,88756793065752e+01
20201102011;8,99021857677786e+01
20201102012;2,13269024155129e+02
20201102013;1,34828491932201e+02
20201102014;1,16274308138718e+02
