LRT,subway,rail,bus,ferry,cable_tram,aerial_lift,funicular,trolleybus,monorail
0,0,0,15.830194470401718,0,0,0,0,0,0
0,0,0,0.18040587327642507,0,0,0,0,0,0
0,0,0,218.8506909602447,0,0,0,0,0,0
0,0,0,18.71501166025858,0,0,0,0,0,0
0,0,12.608823078278553,253.01600046987488,0,0,0,0,0,0
0,0,0,17.111572851041945,0,0,0,0,0,0
0,0,0,50.2865680824284,0,0,0,0,0,0
0,0,0,40.465795178249365,0,0,0,0,0,0
0,0,0,150.42343826832462,0,0,0,0,0,0
0,0,0,28.610805380149824,0,0,0,0,0,0
0,0,0,64.73810138381072,0,0,0,0,0,0
0,0,0,3.0227103058607643,0,0,0,0,0,0
0,0,0,77.71643382455767,0,0,0,0,0,0
0,0,0,4.63166088298647,0,0,0,0,0,0
0,0,0,20.589565031104424,0,0,0,0,0,0
0,0,0,66.88505694320186,0,0,0,0,0,0
0,0,0,33.73837453895646,0,0,0,0,0,0
0,0,0,127.45961206944034,0,0,0,0,0,0
0,0,0,23.710765745573173,0,0,0,0,0,0
0,0,0,129.83342332781882,0,0,0,0,0,0
0,0,0,302.03166252058634,0,0,0,0,0,0
0,0,0,3.084239337820077,0,0,0,0,0,0
0,0,0,57.28649758500215,0,0,0,0,0,0
0,0,0,41.96620986511185,0,0,0,0,0,0
0,0,0,128.93009215075412,0,0,0,0,0,0
0,0,0,39.963940241644096,0,0,0,0,0,0
0,0,0,58.11274042772213,0,0,0,0,0,0
0,0,0,75.31428064903852,0,0,0,0,0,0
0,0,0,206.05758480213814,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1.436630993401063,0,0,0,0,0,0
0,0,0,147.68855429112193,0,0,0,0,0,0
0,0,0,39.64652196018215,0,0,0,0,0,0
0,0,0.49603545212221756,267.9503456718123,0,0,0,0,0,0
0,0,0,224.3036623379842,0,0,0,0,0,0
0,0,0,110.1739059403449,0,0,0,0,0,0
0,0,0,58.58918907653748,0,0,0,0,0,0
0,0,0,171.44488025060227,0,0,0,0,0,0
0,0,0,106.58848907517574,0,0,0,0,0,0
0,0,0,83.45761554407504,0,0,0,0,0,0
0,0,0,140.22865566874182,0,0,0,0,0,0
0,0,0,122.88599874027517,0,0,0,0,0,0
0,0,0,6.700538878579261,0,0,0,0,0,0
0,0,0,8.41399554191631,0,0,0,0,0,0
0,0,0,119.47203390843906,0,0,0,0,0,0
0,0,0,81.16383233033235,0,0,0,0,0,0
0,0,0,20.024126464122464,0,0,0,0,0,0
0,0,0,80.93048727801683,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,102.21848157190492,0,0,0,0,0,0
0,0,0,67.57463812380932,0,0,0,0,0,0
0,0,0,44.45075339840351,0,0,0,0,0,0
0,0,0,29.98146711295085,0,0,0,0,0,0
0,0,0,49.05804967998683,0,0,0,0,0,0
0,0,0,31.84411859221588,0,0,0,0,0,0
0,0,0,25.815946887988975,0,0,0,0,0,0
0,0,0,90.39476165126699,0,0,0,0,0,0
0,0,0,54.23675530998651,0,0,0,0,0,0
0,0,0,39.55618820152536,0,0,0,0,0,0
0,0,0,149.4438880586613,0,0,0,0,0,0
0,0,0,124.97452972817416,0,0,0,0,0,0
0,0,0,68.21836397931389,0,0,0,0,0,0
0,0,0,136.11964903410592,0,0,0,0,0,0
0,0,0,93.8518410765522,0,0,0,0,0,0
